83818_A08	0.0013	0.0076	-0.0139	0.0029	0.0028	0.008	-0.0059	-0.0226	0.0048	-0.0002	Germany	Central
83818_A09	-0.0014	0.0018	0.0034	0.0101	0.0062	-0.0068	0.0087	0.0034	-0.0048	0.0038	Germany	Central
83818_A11	0.001	0.0041	0.0025	0.0098	0.0078	-0.0045	0.0016	0.0064	-0.0049	-0.0032	Germany	Central
83818_A12	-0.0028	0.0053	-0.0068	0.012	0.01	-0.0052	-0.0012	-0.0084	-0.0103	0.0122	Germany	Central
83818_B01	-0.0237	0.0017	0.0062	-0.0057	0.0133	-0.0016	0.0018	0.0114	0.0113	-0.007	Italy	South
83818_B02	-0.028	0.0094	0.0083	-0.0033	0.0012	-0.0144	0.0163	0.001	0.0087	-0.0007	Italy	South
83818_B03	-0.024	0.0022	0.0069	-0.0038	-0.0042	-0.0086	-0.0008	-0.0029	-0.0093	0.0038	Italy	South
83818_B04	-0.0186	0.0026	0.0048	-0.0045	0.0024	0.0094	0.0119	0.0184	0.0118	-0.0079	Italy	South
83818_B05	0.0033	0.0102	-0.0073	0.0127	-0.0028	0.001	-0.0131	-0.0021	0.0111	-0.0098	Germany	Central
83818_B07	0.0001	0.0038	-0.0016	0.0121	0.0185	0.0132	-0.006	0.0075	-0.001	-0.0081	Germany	Central
83818_B08	0.0059	0.0112	-0.0113	0.0135	-0.0007	0.0066	-0.0036	0.0022	0.0022	-0.001	Germany	Central
83818_B09	0.0045	0.0156	-0.0166	0.0089	-0.0001	0.0069	-0.0067	-0.0135	-0.0059	0.0019	Germany	Central
83818_B11	0.0011	-0.0001	0.0032	0.0064	0.0052	0.0038	0.0009	-0.0025	0.0086	-0.0036	Germany	Central
83818_B12	0.0021	-0.0027	-0.0003	0.0073	-0.0023	-0.0022	-0.0009	-0.0041	0.0111	-0.0169	Germany	Central
83818_C01	-0.0206	0.0002	0.0045	-0.0013	0.0108	0.0055	-0.0015	0.0187	-0.0084	0.0032	Italy	South
83818_C02	-0.0315	0.0138	0.0124	-0.0015	-0.0259	-0.019	-0.0057	-0.0148	0.005	-0.0094	Italy	South
83818_C03	0.0028	-0.0094	-0.0005	-0.0051	-0.005	-0.0158	-0.002	0.0111	0.0022	0.0034	Italy	South
83818_C04	-0.0209	0.0003	0.0078	-0.0059	0.0015	-0.0003	-0.0018	-0.0013	-0.0116	-0.0057	Italy	South
83818_C05	0.0076	-0.0053	0.0006	0.0218	-0.0026	-0.0071	0.0102	-0.0131	0.0037	0.0028	GNG	Central
83818_C07	0.0061	0.0061	-0.003	0.0152	-0.0013	-0.0006	0.0033	0.0061	0.0077	-0.013	Germany	Central
83818_C08	0.0058	0.0177	-0.0215	0.0105	0.0114	0.0155	-0.0052	0.004	-0.0092	-0.0021	Germany	Central
83818_C11	0.0017	0.001	-0.0014	0.0154	-0.0015	-0.0058	-0.0058	-0.0021	0.0132	-0.0096	Germany	Central
83818_C12	-0.0048	0.0031	0.0035	0.0042	0.0039	-0.0016	0.0009	-0.0113	-0.0074	-0.0151	Germany	Central
83818_D01	-0.035	0.0154	0.0058	-0.0074	-0.0242	-0.0163	-0.01	0.0002	-0.0053	-0.027	Italy	South
83818_D02	-0.0308	0.0116	0.0152	-0.0035	-0.0159	-0.0078	-0.0067	-0.0049	-0.0265	-0.0136	Italy	South
83818_D03	-0.0191	0.0032	0.001	-0.0047	-0.0011	0.0126	0.015	-0.0021	-0.0055	0.0016	Italy	South
